ticker,tradeDate,expirDate,dte,strike,stockPrice,callVolume,callOpenInterest,callBidSize,callAskSize,putVolume,putOpenInterest,putBidSize,putAskSize,callBidPrice,callValue,callAskPrice,putBidPrice,putValue,putAskPrice,callBidIv,callMidIv,callAskIv,smvVol,putBidIv,putMidIv,putAskIv,residualRate,delta,gamma,theta,vega,rho,phi,driftlessTheta,callSmvVol,putSmvVol,extSmvVol,extCallValue,extPutValue,spotPrice,quoteDate,updatedAt,snapShotEstTime,snapShotDate,expiryTod,tickerId,monthId
AAPL,2024-02-09,2024-02-09,1,145.0,188.78,0.0,0.0,39.0,39.0,0.0,1098.0,0.0,237.0,43.5,43.78109,44.0,0.0,0.0,0.01,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,1.0000000000000164,-8.209725730042027e-13,-0.0218094266624634,2.000000650069632e-05,0.0001986286665258734,-0.0002586173764029809,9.220774743441435e-10,0.185543,0.185543,0.263372,43.78109,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,148.0,188.78,0.0,0.0,34.0,36.0,0.0,255.0,0.0,317.0,40.45,40.781113,40.95,0.0,0.0,0.01,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,1.0000000000000022,-1.1179158028443185e-13,-0.0222606561782506,2.000000637323169e-05,0.0002027382258098798,-0.0002586173764029809,1.015674173684863e-09,0.185543,0.185543,0.263372,40.781113,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,149.0,188.78,0.0,0.0,34.0,36.0,0.0,147.0,0.0,277.0,39.45,39.781121,40.1,0.0,0.0,0.01,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,1.0000000000000118,-5.860609249115172e-13,-0.022411066014537,2.000000650069632e-05,0.000204108079751946,-0.0002586176606200752,1.142226628653838e-09,0.185543,0.185543,0.263372,39.781121,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,150.0,188.78,86.0,99.0,32.0,34.0,0.0,1256.0,0.0,833.0,38.5,38.781128,39.1,0.0,0.0,0.01,0.0,0.0,0.0,0.186,0.0,0.0,0.0,0.0,1.0000000000000258,-1.2854497761191518e-12,-0.0225614758579645,2.0000005990837788e-05,0.00020547793051627192,-0.0002586176606200752,9.127220793466407e-10,0.185543,0.185543,0.263372,38.781128,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,155.0,188.78,0.0,0.0,40.0,32.0,0.0,2044.0,0.0,635.0,33.45,33.781166,33.95,0.0,0.0,0.01,0.0,9.568638,9.568638,0.186,0.0,0.0,0.0,0.0,1.0000000000000069,-3.467032283771174e-13,-0.0233135250533946,2.0000006118302423e-05,0.00021232719514221847,-0.00025861751851152803,9.73220914511953e-10,0.185543,0.185543,0.263372,33.781166,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,157.5,188.78,0.0,0.0,39.0,39.0,0.0,463.0,0.0,537.0,31.1,31.281184,31.45,0.0,0.0,0.01,0.0,8.918305,8.918305,0.186,0.0,0.0,0.0,0.0,1.0000000000000149,-1.4079800515191653e-12,-0.0236895496225807,2.0000013205450207e-05,0.00021575183508176852,-0.0002586185843256317,1.8693974514490784e-09,0.185543,0.185543,0.263372,31.281184,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,160.0,188.78,5.0,45.0,33.0,32.0,4.0,1383.0,0.0,1635.0,28.6,28.781203,28.9,0.0,0.0,0.01,0.0,7.994318,7.994318,0.186,0.0,0.0,0.0,0.0,1.000000000000021,-1.0547607100316677e-12,-0.0240655742221698,2.0000013079082263e-05,0.0002191764664414197,-0.0002586185843256317,1.793098000064998e-09,0.185543,0.185543,0.263372,28.781203,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,162.5,188.78,0.0,0.0,34.0,32.0,100.0,1962.0,0.0,1297.0,26.05,26.281222,26.4,0.0,0.0,0.01,0.0,7.637164,7.637164,0.186,0.0,0.0,0.0,0.0,1.0000000000000282,-1.405343503131359e-12,-0.0244415988163143,2.0000013205450207e-05,0.000222601098754393,-0.0002586184777442213,1.8269179849293734e-09,0.185543,0.185543,0.263372,26.281222,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,165.0,188.78,18.0,18.0,31.0,35.0,18.0,2815.0,0.0,1240.0,23.65,23.781241,23.95,0.0,0.0,0.01,0.0,6.993189,6.993189,0.186,0.0,0.0,0.0,0.0,1.0000000000000258,-1.2876037226355264e-12,-0.024817623417671,2.0000013205450207e-05,0.0002260257294784961,-0.00025861869090704204,1.6790678290668087e-09,0.185543,0.185543,0.263372,23.781241,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,167.5,188.78,11.0,11.0,31.0,35.0,13.0,6739.0,0.0,1038.0,21.1,21.28126,21.5,0.0,0.0,0.01,0.0,6.359009,6.359009,0.186,0.0,0.0,0.0,0.0,1.000000000000021,-1.0591415336901628e-12,-0.025193648015386,2.0000012952714315e-05,0.00022945036147369537,-0.00025861869090704204,1.6744256587048453e-09,0.185543,0.185543,0.256414,21.28126,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
AAPL,2024-02-09,2024-02-09,1,170.0,188.78,12.0,30.0,35.0,35.0,65.0,12487.0,0.0,802.0,18.65,18.781278,19.0,0.0,0.0,0.01,0.0,5.714709,5.714709,0.186,0.0,0.0,0.0,0.0,1.000000000000003,-4.541735498674751e-13,-0.0255696726166006,2.0000003291577804e-05,0.00023287499251557252,-0.0002586197567211457,1.561609216367611e-09,0.185543,0.185543,0.256414,18.781278,0.0,188.78,2024-02-09T20:59:24Z,2024-02-09T20:59:35Z,1600,2024-02-09T21:00:00Z,pm,101594,1
